court_id,resource_uri,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,parent_court,appeals_to
nysupctfrnkln,https://www.courtlistener.com/api/rest/v4/courts/nysupctfrnkln/,,,,,,2023-10-02T18:23:54.617357-07:00,False,False,False,366.9652417,"N.Y. Sup. Ct., Franklin Cty.","New York Supreme Court, Franklin County","New York Supreme Court, Franklin County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctfltn,https://www.courtlistener.com/api/rest/v4/courts/nysupctfltn/,,,,,,2023-10-02T18:23:54.623452-07:00,False,False,False,366.9652418,"N.Y. Sup. Ct., Fulton Cty.","New York Supreme Court, Fulton County","New York Supreme Court, Fulton County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctgnss,https://www.courtlistener.com/api/rest/v4/courts/nysupctgnss/,,,,,,2023-10-02T18:23:54.635161-07:00,False,False,False,366.9652419,"N.Y. Sup. Ct., Genesee Cty.","New York Supreme Court, Genesee County","New York Supreme Court, Genesee County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctgrn,https://www.courtlistener.com/api/rest/v4/courts/nysupctgrn/,,,,,,2023-10-02T18:23:54.651152-07:00,False,False,False,366.965242,"N.Y. Sup. Ct., Greene Cty.","New York Supreme Court, Greene County","New York Supreme Court, Greene County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupcthrkmr,https://www.courtlistener.com/api/rest/v4/courts/nysupcthrkmr/,,,,,,2023-10-02T18:23:54.667127-07:00,False,False,False,366.9652421,"N.Y. Sup. Ct., Herkimer Cty.","New York Supreme Court, Herkimer County","New York Supreme Court, Herkimer County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctjffrsn,https://www.courtlistener.com/api/rest/v4/courts/nysupctjffrsn/,,,,,,2023-10-02T18:23:54.683163-07:00,False,False,False,366.9652422,"N.Y. Sup. Ct., Jefferson Cty.","New York Supreme Court, Jefferson County","New York Supreme Court, Jefferson County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctkings,https://www.courtlistener.com/api/rest/v4/courts/nysupctkings/,,,,,,2023-10-02T18:23:54.699142-07:00,False,False,False,366.96525,N.Y. Sup. Kings,"New York Supreme Court, Kings County","New York Supreme Court, Kings County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctlewis,https://www.courtlistener.com/api/rest/v4/courts/nysupctlewis/,,,,,,2023-10-02T18:23:54.715289-07:00,False,False,False,366.965251,"N.Y. Sup. Ct., Lewis Cty.","New York Supreme Court, Lewis County","New York Supreme Court, Lewis County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctlvngstn,https://www.courtlistener.com/api/rest/v4/courts/nysupctlvngstn/,,,,,,2023-10-02T18:23:54.727228-07:00,False,False,False,366.965252,"N.Y. Sup. Ct., Livingston Cty.","New York Supreme Court, Livingston County","New York Supreme Court, Livingston County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctmdsn,https://www.courtlistener.com/api/rest/v4/courts/nysupctmdsn/,,,,,,2023-10-02T18:23:54.739153-07:00,False,False,False,366.965253,"N.Y. Sup. Ct., Madison Cty.","New York Supreme Court, Madison County","New York Supreme Court, Madison County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
nysupctmonroe,https://www.courtlistener.com/api/rest/v4/courts/nysupctmonroe/,,,,,,2023-10-02T18:23:54.759236-07:00,False,False,False,366.96526,N.Y. Sup. Monroe,"New York Supreme Court, Monroe County","New York Supreme Court, Monroe County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/nysupct/,[]
