court_id,resource_uri,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,parent_court,appeals_to
ohctapp2miami,https://www.courtlistener.com/api/rest/v4/courts/ohctapp2miami/,,,,,,2023-10-02T18:23:58.703335-07:00,False,False,False,366.996007,Oh. Ct. App. 2nd Dist. Miami,"Court of Appeals of Ohio, Second District, Miami County","Court of Appeals of Ohio, Second District, Miami County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp2/,[]
ohctapp2montgom,https://www.courtlistener.com/api/rest/v4/courts/ohctapp2montgom/,,,,,,2023-10-02T18:23:58.712880-07:00,False,False,False,366.996008,Oh. Ct. App. 2nd Dist. Montgomery,"Court of Appeals of Ohio, Second District, Montgomery County","Court of Appeals of Ohio, Second District, Montgomery County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp2/,[]
ohctapp3,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,,,,,,2023-10-02T18:23:58.731193-07:00,False,False,False,366.996009,,"Court of Appeals of Ohio, Third District","Court of Appeals of Ohio, Third District",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohioctapp/,[]
ohctapp3allen,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3allen/,,,,,,2023-10-02T18:23:58.747161-07:00,False,False,False,366.99601,Oh. Ct. App. 3rd Dist. Allen,"Court of Appeals of Ohio, Third District, Allen County","Court of Appeals of Ohio, Third District, Allen County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3auglaiz,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3auglaiz/,,,,,,2023-10-02T18:23:58.759440-07:00,False,False,False,366.996011,Oh. Ct. App. 3rd Dist. Auglaize,"Court of Appeals of Ohio, Third District, Auglaize County","Court of Appeals of Ohio, Third District, Auglaize County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3crawfor,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3crawfor/,,,,,,2023-10-02T18:23:58.772827-07:00,False,False,False,366.996012,Oh. Ct. App. 3rd Dist. Crawford,"Court of Appeals of Ohio, Third District, Crawford County","Court of Appeals of Ohio, Third District, Crawford County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3defianc,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3defianc/,,,,,,2023-10-02T18:23:58.779101-07:00,False,False,False,366.996013,Oh. Ct. App. 3rd Dist. Defiance,"Court of Appeals of Ohio, Third District, Defiance County","Court of Appeals of Ohio, Third District, Defiance County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3hancock,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3hancock/,,,,,,2023-10-02T18:23:58.791217-07:00,False,False,False,366.996014,Oh. Ct. App. 3rd Dist. Hancock,"Court of Appeals of Ohio, Third District, Hancock County","Court of Appeals of Ohio, Third District, Hancock County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3hardin,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3hardin/,,,,,,2023-10-02T18:23:58.804774-07:00,False,False,False,366.996015,Oh. Ct. App. 3rd Dist. Hardin,"Court of Appeals of Ohio, Third District, Hardin County","Court of Appeals of Ohio, Third District, Hardin County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3henry,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3henry/,,,,,,2023-10-02T18:23:58.815150-07:00,False,False,False,366.996016,Oh. Ct. App. 3rd Dist. Henry,"Court of Appeals of Ohio, Third District, Henry County","Court of Appeals of Ohio, Third District, Henry County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
